booth,fandoms,facebook_url,zone
G79,"JJK, LoL, dandadan, dungeon mechi, genshin, hsr, mouth washing, orv",https://www.facebook.com/photo?fbid=1068724825283043&set=a.1056404053181787,G
G80,"JJK, conan, genshin",https://www.facebook.com/photo/?fbid=1065801822242010&set=a.1056404053181787,G
G81,"gegege, hsr, marvel, slamdunk",https://www.facebook.com/photo/?fbid=1068725045283021&set=a.1056404053181787,G
G83-84,"holo, hsr, maomao",https://www.facebook.com/photo/?fbid=1065801898908669&set=a.1056404053181787,G
G85-86,"ALNST, Hazbin hotel, arknights, dungeon mechi, final fantasy, genshin, hsr, mouth washing, original",https://www.facebook.com/photo/?fbid=1068733455282180&set=a.1056404053181787,G
G87-88,"JJK, hsr, nijisanji, zzz",https://www.facebook.com/photo/?fbid=1065801975575328&set=a.1056404053181787,G
G89-90,"blue lock, dungeon mechi, genshin, hsr",https://www.facebook.com/photo/?fbid=1066322892189903&set=a.1056404053181787,G
G91-92,"IDOLiSH7, MHA, free, genshin, hsr, nu carnival",https://www.facebook.com/photo?fbid=1068724755283050&set=a.1056404053181787,G
H01,"genshin, honkai3, hsr",https://www.facebook.com/photo/?fbid=1068543255301200&set=a.1056404593181733,H
H02,"hsr, mahou-shoujo, nijisanji, original, webtoon, wuwa",https://www.facebook.com/photo/?fbid=1065805382241654&set=a.1056404593181733,H
H03,hsr,https://www.facebook.com/photo?fbid=1068735251948667&set=a.1056404593181733,H
H04,"hsr, zzz",https://www.facebook.com/photo/?fbid=1065805475574978&set=a.1056404593181733,H
H07,"bungo, original",https://www.facebook.com/photo/?fbid=1062381529250706&set=a.1056404593181733,H
H08,"dr.stone, genshin, hsr",https://www.facebook.com/photo/?fbid=1066487415506784&set=a.1056404593181733,H
H09-10,"LoL, genshin, haikyuu, hsr, mob100",https://www.facebook.com/photo?fbid=1068734928615366&set=a.1056404593181733,H
H11-12,"genshin, hsr, wuwa",https://www.facebook.com/photo/?fbid=1062381499250709&set=a.1056404593181733,H
H13-14,"IDOLiSH7, JJK, arknights, genshin, hsr, original, project sekai",https://www.facebook.com/photo/?fbid=1068541001968092&set=a.1056404593181733,H
H16,"Hand-made, chainsaw man, genshin, one piece, original, reverse1999",https://www.facebook.com/photo/?fbid=1065805315574994&set=a.1056404593181733,H
H17,"dungeon mechi, hsr, reverse1999",https://www.facebook.com/photo/?fbid=1068540951968097&set=a.1056404593181733,H
H18,reverse1999,https://www.facebook.com/photo/?fbid=1065805262241666&set=a.1056404593181733,H
